"","term","contrast","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","model"
"1","age_scale","dY/dX",-0.0102,0.00794542605216633,-1.28658342796086,0.198239522919095,2.33468347426495,-0.0258,0.0054,"Model 1"
"2","ards_icd_10","1 - 0",0.1862,0.0268395070065287,6.93663177826847,4.01558672757327e-12,37.8575263396685,0.1336,0.2388,"Model 1"
"3","bmi_scale","dY/dX",-0.0085,0.00584569755308393,-1.44721178410829,0.147837617104448,2.75791468666862,-0.0199,0.003,"Model 1"
"4","female","1 - 0",0.0309,0.0242557087684112,1.27276891119709,0.203100056130679,2.29973745653621,-0.0167,0.0784,"Model 1"
"5","hospital_id","HCG - BMC",-0.0226,0.0378386297666974,-0.596750735721316,0.550673813509402,0.860730090027362,-0.0967,0.0516,"Model 1"
"6","hospital_id","JHH - BMC",0.0619,0.0293769317024452,2.10845743775642,0.0349914406331739,4.83685412675311,0.0044,0.1195,"Model 1"
"7","hospital_id","SMH - BMC",0.021,0.0657301167380577,0.319513923176823,0.749336835105628,0.416313723199168,-0.1078,0.1498,"Model 1"
"8","hospital_id","SUB - BMC",-0.1212,0.038259069953357,-3.16757290652087,0.00153717161724889,9.34550604121294,-0.1962,-0.0462,"Model 1"
"9","min_pf_ratio_scale","dY/dX",0.0016,0.00547251122046377,0.287851255322301,0.773460600910528,0.370600290373585,-0.0092,0.0123,"Model 1"
"10","nee_pressor_dose","1 - 0",0.021,0.0387138085472918,0.542771453094415,0.587287170534528,0.767861972816332,-0.0549,0.0969,"Model 1"
"11","nee_pressor_dose","2 - 0",0.0444,0.0420385721168776,1.0551808386537,0.291342625872995,1.77921129956542,-0.038,0.1268,"Model 1"
"12","sofa_score_scale","dY/dX",-0.0203,0.00595065182361886,-3.41216755060069,0.000644484864101525,10.5995659026415,-0.032,-0.0086,"Model 1"
"13","study_period","Post-COVID - COVID",-0.1798,0.0299935030669866,-5.99507318503851,2.03393822563111e-09,28.8730769913735,-0.2386,-0.121,"Model 1"
"14","study_period","Pre-COVID - COVID",-0.2667,0.0284260845197031,-9.38283513709558,6.42221486521433e-21,67.0774190591509,-0.3224,-0.211,"Model 1"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","age_scale","dY/dX",-0.0129,0.0154316942393038,-0.838355481463974,0.401831084450606,1.31533892392681,-0.0432,0.0173,"Model 2"
"17","bmi_scale","dY/dX",-0.0191,0.0132860025656021,-1.43557508142194,0.151123289577518,2.72620208382981,-0.0451,0.007,"Model 2"
"18","female","1 - 0",0.0838,0.0488492311336516,1.71491998930569,0.0863598972292075,3.53349466326239,-0.012,0.1795,"Model 2"
"19","hospital_id","HCG - BMC",-0.1107,0.0754103569547611,-1.46777048112246,0.142166578314044,2.81434575066001,-0.2585,0.0371,"Model 2"
"20","hospital_id","JHH - BMC",0.0027,0.0596543722646867,0.044562431085197,0.964456088545125,0.0522125406776168,-0.1143,0.1196,"Model 2"
"21","hospital_id","SMH - BMC",-0.1376,0.119712452624632,-1.1495854873922,0.250314638327184,1.99818543300807,-0.3723,0.097,"Model 2"
"22","hospital_id","SUB - BMC",-0.2036,0.0938185000985988,-2.17053719450077,0.0299661741047587,5.06052128852019,-0.3875,-0.0198,"Model 2"
"23","min_pf_ratio_scale","dY/dX",0.003,0.0111618945748489,0.269187559473058,0.787785353163721,0.344125500878413,-0.0189,0.0249,"Model 2"
"24","nee_pressor_dose","1 - 0",0.0073,0.0817078759934139,0.0888390434784321,0.929209828140066,0.105923681448833,-0.1529,0.1674,"Model 2"
"25","nee_pressor_dose","2 - 0",0.0478,0.0897810573582095,0.532044073159934,0.594695470812918,0.749777006663786,-0.1282,0.2237,"Model 2"
"26","sofa_score_scale","dY/dX",-0.0293,0.012628469852679,-2.31755193063089,0.0204736852385899,5.61008538067613,-0.054,-0.0045,"Model 2"
"27","study_period","Post-COVID - COVID",-0.1855,0.0600595067596382,-3.08819919017741,0.00201373446016553,8.95591082885433,-0.3032,-0.0678,"Model 2"
"28","study_period","Pre-COVID - COVID",-0.3436,0.0643117287981461,-5.34197454936173,9.19395656665031e-08,23.3747389083919,-0.4696,-0.2175,"Model 2"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
