position_category,position_name,Freq,semi_prone
prone,Head left;Lying left side;Pillow support;Prone;Reverse Trendelenburg,15,FALSE
prone,Head left;Lying left side;Prone,18,FALSE
prone,Head left;Lying left side;Prone;Reverse Trendelenburg,39,FALSE
prone,Head left;Lying right side;Pillow support;Prone;Reverse Trendelenburg,34,FALSE
prone,Head left;Lying right side;Prone,25,FALSE
prone,Head left;Lying right side;Prone;Reverse Trendelenburg,123,FALSE
prone,Head left;Lying right side;Prone;Reverse Trendelenburg;Pillow support,15,FALSE
prone,Head left;Lying right side;Reverse Trendelenburg;Prone,13,FALSE
prone,Head left;Pillow support;Prone,12,FALSE
prone,Head left;Pillow support;Prone;Reverse Trendelenburg,131,FALSE
prone,Head left;Prone,183,FALSE
prone,Head left;Prone;Lying right side,12,FALSE
prone,Head left;Prone;Pillow support,21,FALSE
prone,Head left;Prone;Pillow support;Reverse Trendelenburg,21,FALSE
prone,Head left;Prone;Reverse Trendelenburg,302,FALSE
prone,Head left;Prone;Reverse Trendelenburg;Pillow support,40,FALSE
prone,Head left;Reverse Trendelenburg;Prone,19,FALSE
prone,Head right;Lying left side;Pillow support;Prone;Reverse Trendelenburg,41,FALSE
prone,Head right;Lying left side;Prone,21,FALSE
prone,Head right;Lying left side;Prone;Reverse Trendelenburg,126,FALSE
prone,Head right;Lying left side;Prone;Reverse Trendelenburg;Pillow support,11,FALSE
prone,Head right;Lying left side;Reverse Trendelenburg;Prone,12,FALSE
prone,Head right;Lying right side;Pillow support;Prone,14,FALSE
prone,Head right;Lying right side;Pillow support;Prone;Reverse Trendelenburg,15,FALSE
prone,Head right;Lying right side;Prone,15,FALSE
prone,Head right;Lying right side;Prone;Reverse Trendelenburg,42,FALSE
prone,Head right;Pillow support;Prone,11,FALSE
prone,Head right;Pillow support;Prone;Reverse Trendelenburg,124,FALSE
prone,Head right;Pillow support;Reverse Trendelenburg;Prone,11,FALSE
prone,Head right;Prone,202,FALSE
prone,Head right;Prone;Lying left side,15,FALSE
prone,Head right;Prone;Pillow support,22,FALSE
prone,Head right;Prone;Pillow support;Reverse Trendelenburg,26,FALSE
prone,Head right;Prone;Reverse Trendelenburg,292,FALSE
prone,Head right;Prone;Reverse Trendelenburg;Lying left side,15,FALSE
prone,Head right;Prone;Reverse Trendelenburg;Pillow support,46,FALSE
prone,Head right;Reverse Trendelenburg;Prone,18,FALSE
prone,Lying left side;Head right;Prone;Reverse Trendelenburg,31,FALSE
prone,Lying left side;Pillow support;Prone,42,FALSE
prone,Lying left side;Prone,459,FALSE
prone,Lying left side;Prone;Other (Comment),12,FALSE
prone,Lying left side;Prone;Pillow support,45,FALSE
prone,Lying left side;Prone;Reverse Trendelenburg,99,FALSE
prone,Lying left side;Reverse Trendelenburg;Prone,13,FALSE
prone,Lying right side;Head left;Prone;Reverse Trendelenburg,23,FALSE
prone,Lying right side;Pillow support;Prone,40,FALSE
prone,Lying right side;Pillow support;Prone;Reverse Trendelenburg,13,FALSE
prone,Lying right side;Prone,479,FALSE
prone,Lying right side;Prone;Pillow support,42,FALSE
prone,Lying right side;Prone;Reverse Trendelenburg,81,FALSE
prone,Lying right side;Reverse Trendelenburg;Prone,20,FALSE
prone,Other (Comment);Prone,11,FALSE
prone,Pillow support;Prone,559,FALSE
prone,Pillow support;Prone;Lying right side,17,FALSE
prone,Pillow support;Prone;Reverse Trendelenburg,157,FALSE
prone,Pillow support;Prone;Reverse Trendelenburg;Head left,16,FALSE
prone,Pillow support;Prone;Reverse Trendelenburg;Head right,11,FALSE
prone,Pillow support;Reverse Trendelenburg;Prone,14,FALSE
prone,prone,15,FALSE
prone,Prone,4422,FALSE
prone,PRONE,26,FALSE
prone,prone head repositioned,12,FALSE
prone,PRONE head repositioned,62,FALSE
prone,PRONE HEAD REPOSITIONED,25,FALSE
prone,prone head turn,27,FALSE
prone,prone turn,14,FALSE
prone,"PRONE, head repositioned",12,FALSE
prone,Prone;Head left,456,FALSE
prone,Prone;Head left;Lying left side,22,FALSE
prone,Prone;Head left;Lying right side,65,FALSE
prone,Prone;Head left;Lying right side;Reverse Trendelenburg,33,FALSE
prone,Prone;Head left;Pillow support,23,FALSE
prone,Prone;Head left;Reverse Trendelenburg,88,FALSE
prone,Prone;Head right,469,FALSE
prone,Prone;Head right;Lying left side,56,FALSE
prone,Prone;Head right;Lying left side;Reverse Trendelenburg,24,FALSE
prone,Prone;Head right;Lying right side,21,FALSE
prone,Prone;Head right;Pillow support,25,FALSE
