"","term","contrast","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","model"
"1","age_scale","dY/dX",-0.0261,0.0184448957638756,-1.41524116990665,0.156997797332573,2.67118377653266,-0.0623,0.01,"Model 1"
"2","bmi_scale","dY/dX",0.0135,0.0130673247087425,1.03417847158674,0.301052736584943,1.73191186323355,-0.0121,0.0391,"Model 1"
"3","female","1 - 0",0.0362,0.0516755948490044,0.701055518927596,0.483268368156635,1.0491035271795,-0.0651,0.1375,"Model 1"
"4","hospital_id","HCG - BMC",0.1123,0.115517110413164,0.972190820569701,0.330955626372695,1.59529029750297,-0.1141,0.3387,"Model 1"
"5","hospital_id","JHH - BMC",0.0333,0.0600650274092473,0.555045829217417,0.578863313862225,0.788705367904531,-0.0844,0.1511,"Model 1"
"6","hospital_id","SMH - BMC",-0.0248,0.140577025253977,-0.176415470494279,0.859967551574822,0.21764587003223,-0.3003,0.2507,"Model 1"
"7","hospital_id","SUB - BMC",-0.2578,0.0461630648588869,-5.58391768323017,2.35160043282487e-08,25.3417818105542,-0.3482,-0.1673,"Model 1"
"8","min_pf_ratio_scale","dY/dX",0.062,0.0224172450168831,2.76751411266078,0.00564855997885978,7.46790116512567,0.0181,0.106,"Model 1"
"9","nee_pressor_dose","1 - 0",0.1105,0.0623820264590442,1.77201165264731,0.0763926229347514,3.71042286263035,-0.0117,0.2328,"Model 1"
"10","nee_pressor_dose","2 - 0",0.1646,0.0742598418903905,2.21707995008527,0.0266176286406228,5.23147414222154,0.0191,0.3102,"Model 1"
"11","sofa_score_scale","dY/dX",-0.0446,0.0129720598154436,-3.43759627938174,0.000586902029583587,10.7345926823984,-0.07,-0.0192,"Model 1"
"12","study_period","Post-COVID - COVID",-0.189,0.0595730860983038,-3.17304662659122,0.00150848296396287,9.37268588114735,-0.3058,-0.0723,"Model 1"
"13","study_period","Pre-COVID - COVID",-0.2467,0.0661924966121601,-3.72680315119474,0.000193923794490148,12.3322225462604,-0.3764,-0.117,"Model 1"
