"","site","n_observations","n_hospitals","term","estimate","std_error","p_value","odds_ratio","confidence_interval","lower_bound","upper_bound"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Adjusted Model With ARDS ICD-10 Adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Hopkins",1141,5,"(Intercept)",-2.26184996247255,0.331248384334286,8.59509461118788e-12,0.104,"0.054 - 0.199",0.0544166630636781,0.199365578996766
"4","Hopkins",1141,5,"study_periodPost-COVID",-0.936437834012665,0.189618677839386,7.87130214480895e-07,0.392,"0.27 - 0.568",0.270337631710994,0.568478346895566
"5","Hopkins",1141,5,"study_periodPre-COVID",-1.55673589041405,0.277890655859485,2.11925839819938e-08,0.211,"0.122 - 0.363",0.122286140373523,0.363462113903965
"6","Hopkins",1141,5,"ards_icd_10",1.96397022255702,0.210415151322009,1.02154135100753e-20,7.128,"4.719 - 10.766",4.71884517885113,10.7658204333481
"7","Hopkins",1141,5,"age_scale",-0.0922597006403967,0.0501289906880352,0.065702784587945,0.912,"0.827 - 1.006",0.826536899710193,1.006009299519
"8","Hopkins",1141,5,"female",0.161274708609254,0.155730447647546,0.300388021689912,1.175,"0.866 - 1.594",0.865929865797551,1.59440524140457
"9","Hopkins",1141,5,"bmi_scale",-0.0878628572849372,0.0361574090363696,0.0150984157513269,0.916,"0.853 - 0.983",0.853226633577927,0.983147973314265
"10","Hopkins",1141,5,"factor(nee_pressor_dose)1",0.120774892453751,0.264344415380986,0.647753993664015,1.128,"0.672 - 1.894",0.672111761045669,1.89435881696311
"11","Hopkins",1141,5,"factor(nee_pressor_dose)2",0.279146654664812,0.295576058912033,0.344957289168606,1.322,"0.741 - 2.36",0.740690977194079,2.35953622483305
"12","Hopkins",1141,5,"sofa_score_scale",-0.124806949193519,0.0404323777309467,0.00202318865981501,0.883,"0.815 - 0.955",0.815419190861741,0.955461370174141
"13","Hopkins",1141,5,"min_pf_ratio_scale",0.0297691950099803,0.0362194437674836,0.411126989973482,1.03,"0.96 - 1.106",0.959618364714795,1.10600895557726
"14","Hopkins",1141,5,"factor(hospital_id)HCG",-0.21112167794369,0.258898531454703,0.414808429811977,0.81,"0.487 - 1.345",0.487456864641752,1.34488716771195
"15","Hopkins",1141,5,"factor(hospital_id)JHH",0.319124456870367,0.181825877666535,0.079240455860324,1.376,"0.963 - 1.965",0.96343744805939,1.9650086130716
"16","Hopkins",1141,5,"factor(hospital_id)SMH",0.0817175093936392,0.435381115661267,0.851118179260715,1.085,"0.462 - 2.547",0.462266461877062,2.54733780462559
"17","Hopkins",1141,5,"factor(hospital_id)SUB",-0.673309135427449,0.358457445550519,0.0603330747284022,0.51,"0.253 - 1.03",0.252619008958429,1.02968666563736
"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Adjusted Model Restricted to Those with ICD-10 ARDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Hopkins",647,5,"(Intercept)",-0.299794212064869,0.324737418671801,0.355908400551735,0.741,"0.392 - 1.4",0.392088438156905,1.40029010493372
"21","Hopkins",647,5,"study_periodPost-COVID",-0.814263472894113,0.214307212495124,0.000144979525436336,0.443,"0.291 - 0.674",0.291039031769912,0.674199609911821
"22","Hopkins",647,5,"study_periodPre-COVID",-1.99963503076477,0.363076089093134,3.64002585159071e-08,0.135,"0.066 - 0.276",0.0664536152965008,0.275816642585314
"23","Hopkins",647,5,"age_scale",-0.110948688037675,0.0571243304556752,0.0521090516488511,0.895,"0.8 - 1.001",0.800186608114691,1.00101345549573
"24","Hopkins",647,5,"female",0.196243093244714,0.173971918773203,0.259313197664397,1.217,"0.865 - 1.711",0.865251033623588,1.7112460482851
"25","Hopkins",647,5,"bmi_scale",-0.119796804274805,0.0415694972508864,0.00395355476012587,0.887,"0.818 - 0.962",0.81769038069284,0.96240291368392
"26","Hopkins",647,5,"factor(nee_pressor_dose)1",0.220855770956243,0.286543957198072,0.440850958140215,1.247,"0.711 - 2.187",0.71122953649533,2.18687067636047
"27","Hopkins",647,5,"factor(nee_pressor_dose)2",0.360115987673827,0.321546754099429,0.262735466645224,1.433,"0.763 - 2.692",0.763300053790441,2.69213900035667
"28","Hopkins",647,5,"sofa_score_scale",-0.124947795636425,0.0462565336528,0.00690913640998055,0.883,"0.806 - 0.966",0.806050457848259,0.966294471185037
"29","Hopkins",647,5,"min_pf_ratio_scale",0.0166630958181409,0.0404627034215491,0.680475975220172,1.017,"0.939 - 1.101",0.939279351009367,1.1007244316222
"30","Hopkins",647,5,"factor(hospital_id)HCG",-0.302371021900539,0.280451023069955,0.280962443783265,0.739,"0.427 - 1.281",0.426541792865542,1.28056691566718
"31","Hopkins",647,5,"factor(hospital_id)JHH",0.245392275681041,0.201715353951291,0.223784040993634,1.278,"0.861 - 1.898",0.860740207794666,1.89789827821372
"32","Hopkins",647,5,"factor(hospital_id)SMH",-0.379218827683308,0.444778065527976,0.393879854227909,0.684,"0.286 - 1.636",0.286227646717846,1.63645147343086
"33","Hopkins",647,5,"factor(hospital_id)SUB",-0.622467166113525,0.436792570444639,0.154132217932605,0.537,"0.228 - 1.263",0.227964611931775,1.26317771319691
"34","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Adjusted Model Restricted to Those without ICD-10 ARDS (",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Hopkins",494,5,"(Intercept)",-2.4693270958854,0.607565596737587,4.81774263448765e-05,0.085,"0.026 - 0.278",0.025729070364925,0.278448986697878
"37","Hopkins",494,5,"study_periodPost-COVID",-1.65392988768696,0.55678029009887,0.00297291004771973,0.191,"0.064 - 0.57",0.0642355037274531,0.569691341027089
"38","Hopkins",494,5,"study_periodPre-COVID",-0.920016801551673,0.430027839751526,0.0324004191031212,0.399,"0.172 - 0.926",0.171554225305109,0.925725316037862
"39","Hopkins",494,5,"age_scale",-0.0394227131366215,0.10796335918911,0.715000182283939,0.961,"0.778 - 1.188",0.778001358394248,1.18789351433392
"40","Hopkins",494,5,"female",0.096650698408684,0.36587276182329,0.791652947210166,1.101,"0.538 - 2.256",0.537704171211744,2.25634925779636
"41","Hopkins",494,5,"bmi_scale",-0.0179444567762097,0.0688000758083799,0.794231084924734,0.982,"0.858 - 1.124",0.858309838546475,1.12400838784796
"42","Hopkins",494,5,"factor(nee_pressor_dose)1",-0.288087527032361,0.642351944778336,0.653800608816627,0.75,"0.213 - 2.64",0.212869877395513,2.64031743413457
"43","Hopkins",494,5,"factor(nee_pressor_dose)2",0.0504860729310774,0.736972572541659,0.94538389183373,1.052,"0.248 - 4.459",0.248092497926684,4.45900556064946
"44","Hopkins",494,5,"sofa_score_scale",-0.144164141778945,0.0858095039369645,0.0929478493422057,0.866,"0.732 - 1.024",0.731727077839153,1.02431018467414
"45","Hopkins",494,5,"min_pf_ratio_scale",0.0497337711118482,0.0884434805659585,0.573896218651341,1.051,"0.884 - 1.25",0.883722424166155,1.24992032300733
"46","Hopkins",494,5,"factor(hospital_id)HCG",0.368734654347564,0.689372730275275,0.592729861284698,1.446,"0.374 - 5.584",0.374407287940159,5.5838604695949
"47","Hopkins",494,5,"factor(hospital_id)JHH",0.860711548674901,0.504189489910675,0.087799902806427,2.365,"0.88 - 6.353",0.880309531571714,6.35285799932496
"48","Hopkins",494,5,"factor(hospital_id)SMH",2.04933907767154,0.766152968382528,0.00747642028702984,7.763,"1.729 - 34.847",1.72928296759184,34.847148171932
"49","Hopkins",494,5,"factor(hospital_id)SUB",-0.600988849952357,0.828468630842674,0.468193566308358,0.548,"0.108 - 2.781",0.108093625056613,2.78091449548895
