strata,variable,level,n,miss,p.miss,freq,percent,cum.percent
Overall,in_hosp_death,0,1164,0,0,546,46.9072164948454,46.90721649484536
Overall,in_hosp_death,1,1164,0,0,618,53.0927835051546,100
Overall,death_or_hospice,0,1164,0,0,525,45.1030927835052,45.103092783505154
Overall,death_or_hospice,1,1164,0,0,639,54.8969072164949,100
Overall,death_day28,0,1164,0,0,595,51.1168384879725,51.1168384879725
Overall,death_day28,1,1164,0,0,569,48.8831615120275,100
Overall,death_hospice_day28,0,1164,0,0,577,49.5704467353952,49.570446735395194
Overall,death_hospice_day28,1,1164,0,0,587,50.4295532646048,100
COVID,in_hosp_death,0,584,0,0,293,50.1712328767123,50.171232876712324
COVID,in_hosp_death,1,584,0,0,291,49.8287671232877,100
COVID,death_or_hospice,0,584,0,0,282,48.2876712328767,48.28767123287671
COVID,death_or_hospice,1,584,0,0,302,51.7123287671233,100
COVID,death_day28,0,584,0,0,330,56.5068493150685,56.5068493150685
COVID,death_day28,1,584,0,0,254,43.4931506849315,100
COVID,death_hospice_day28,0,584,0,0,321,54.9657534246575,54.965753424657535
COVID,death_hospice_day28,1,584,0,0,263,45.0342465753425,100
Post-COVID,in_hosp_death,0,332,0,0,149,44.8795180722892,44.87951807228915
Post-COVID,in_hosp_death,1,332,0,0,183,55.1204819277108,100
Post-COVID,death_or_hospice,0,332,0,0,141,42.4698795180723,42.46987951807229
Post-COVID,death_or_hospice,1,332,0,0,191,57.5301204819277,100
Post-COVID,death_day28,0,332,0,0,154,46.3855421686747,46.3855421686747
Post-COVID,death_day28,1,332,0,0,178,53.6144578313253,100
Post-COVID,death_hospice_day28,0,332,0,0,146,43.9759036144578,43.97590361445783
Post-COVID,death_hospice_day28,1,332,0,0,186,56.0240963855422,100
Pre-COVID,in_hosp_death,0,248,0,0,104,41.9354838709677,41.935483870967744
Pre-COVID,in_hosp_death,1,248,0,0,144,58.0645161290323,100
Pre-COVID,death_or_hospice,0,248,0,0,102,41.1290322580645,41.12903225806452
Pre-COVID,death_or_hospice,1,248,0,0,146,58.8709677419355,100
Pre-COVID,death_day28,0,248,0,0,111,44.758064516129,44.75806451612903
Pre-COVID,death_day28,1,248,0,0,137,55.241935483871,100
Pre-COVID,death_hospice_day28,0,248,0,0,110,44.3548387096774,44.354838709677416
Pre-COVID,death_hospice_day28,1,248,0,0,138,55.6451612903226,100
