strata,variable,level,n,miss,p.miss,freq,percent,cum.percent
Overall,in_hosp_death,0,1164,0,0,546,46.9072164948454,46.90721649484536
Overall,in_hosp_death,1,1164,0,0,618,53.0927835051546,100
Overall,death_or_hospice,0,1164,0,0,525,45.1030927835052,45.103092783505154
Overall,death_or_hospice,1,1164,0,0,639,54.8969072164949,100
Overall,death_day28,0,1164,0,0,595,51.1168384879725,51.1168384879725
Overall,death_day28,1,1164,0,0,569,48.8831615120275,100
Overall,death_hospice_day28,0,1164,0,0,577,49.5704467353952,49.570446735395194
Overall,death_hospice_day28,1,1164,0,0,587,50.4295532646048,100
COVID_0,in_hosp_death,0,353,0,0,161,45.6090651558074,45.609065155807365
COVID_0,in_hosp_death,1,353,0,0,192,54.3909348441926,100
COVID_0,death_or_hospice,0,353,0,0,151,42.7762039660057,42.77620396600567
COVID_0,death_or_hospice,1,353,0,0,202,57.2237960339943,100
COVID_0,death_day28,0,353,0,0,182,51.5580736543909,51.55807365439094
COVID_0,death_day28,1,353,0,0,171,48.4419263456091,100
COVID_0,death_hospice_day28,0,353,0,0,173,49.0084985835694,49.008498583569406
COVID_0,death_hospice_day28,1,353,0,0,180,50.9915014164306,100
COVID_1,in_hosp_death,0,231,0,0,132,57.1428571428571,57.14285714285714
COVID_1,in_hosp_death,1,231,0,0,99,42.8571428571429,100
COVID_1,death_or_hospice,0,231,0,0,131,56.7099567099567,56.709956709956714
COVID_1,death_or_hospice,1,231,0,0,100,43.2900432900433,100
COVID_1,death_day28,0,231,0,0,148,64.0692640692641,64.06926406926407
COVID_1,death_day28,1,231,0,0,83,35.9307359307359,100
COVID_1,death_hospice_day28,0,231,0,0,148,64.0692640692641,64.06926406926407
COVID_1,death_hospice_day28,1,231,0,0,83,35.9307359307359,100
Post-COVID_0,in_hosp_death,0,280,0,0,123,43.9285714285714,43.92857142857143
Post-COVID_0,in_hosp_death,1,280,0,0,157,56.0714285714286,100
Post-COVID_0,death_or_hospice,0,280,0,0,116,41.4285714285714,41.42857142857143
Post-COVID_0,death_or_hospice,1,280,0,0,164,58.5714285714286,100
Post-COVID_0,death_day28,0,280,0,0,128,45.7142857142857,45.714285714285715
Post-COVID_0,death_day28,1,280,0,0,152,54.2857142857143,100
Post-COVID_0,death_hospice_day28,0,280,0,0,121,43.2142857142857,43.214285714285715
Post-COVID_0,death_hospice_day28,1,280,0,0,159,56.7857142857143,100
Post-COVID_1,in_hosp_death,0,52,0,0,26,50,50
Post-COVID_1,in_hosp_death,1,52,0,0,26,50,100
Post-COVID_1,death_or_hospice,0,52,0,0,25,48.0769230769231,48.07692307692308
Post-COVID_1,death_or_hospice,1,52,0,0,27,51.9230769230769,100
Post-COVID_1,death_day28,0,52,0,0,26,50,50
Post-COVID_1,death_day28,1,52,0,0,26,50,100
Post-COVID_1,death_hospice_day28,0,52,0,0,25,48.0769230769231,48.07692307692308
Post-COVID_1,death_hospice_day28,1,52,0,0,27,51.9230769230769,100
Pre-COVID_0,in_hosp_death,0,228,0,0,99,43.421052631579,43.42105263157895
Pre-COVID_0,in_hosp_death,1,228,0,0,129,56.578947368421,100
Pre-COVID_0,death_or_hospice,0,228,0,0,97,42.5438596491228,42.54385964912281
Pre-COVID_0,death_or_hospice,1,228,0,0,131,57.4561403508772,100
Pre-COVID_0,death_day28,0,228,0,0,105,46.0526315789474,46.05263157894737
Pre-COVID_0,death_day28,1,228,0,0,123,53.9473684210526,100
Pre-COVID_0,death_hospice_day28,0,228,0,0,104,45.6140350877193,45.614035087719294
Pre-COVID_0,death_hospice_day28,1,228,0,0,124,54.3859649122807,100
Pre-COVID_1,in_hosp_death,0,20,0,0,5,25,25
Pre-COVID_1,in_hosp_death,1,20,0,0,15,75,100
Pre-COVID_1,death_or_hospice,0,20,0,0,5,25,25
Pre-COVID_1,death_or_hospice,1,20,0,0,15,75,100
Pre-COVID_1,death_day28,0,20,0,0,6,30,30
Pre-COVID_1,death_day28,1,20,0,0,14,70,100
Pre-COVID_1,death_hospice_day28,0,20,0,0,6,30,30
Pre-COVID_1,death_hospice_day28,1,20,0,0,14,70,100
