strata,variable,n,miss,p.miss,mean,sd,median,p25,p75,min,max,skew,kurt
Overall,hosp_los_days,1164,2,0.1718213058419244,21.682496055651175,31.07750882506921,13.409375,5.003645833333334,27.199131944444446,0.05416666666666667,549.2847222222222,7.196605435153298,93.97545075977396
Overall,vfds_day28,1164,7,0.6013745704467355,6.721694036300778,9.5477485833107,0,0,16,0,27,0.9126436239947198,-0.8999519057241819
COVID_0,hosp_los_days,353,0,0,23.850832152974505,30.81790151535778,14.32013888888889,5.756944444444444,30.929166666666667,0.24375,386.75625,5.421485372928018,54.6588562601877
COVID_0,vfds_day28,353,1,0.28328611898017,5.588068181818182,8.945429666984248,0,0,12.25,0,27,1.1922648892779784,-0.29485455528664695
COVID_1,hosp_los_days,231,0,0,31.227564333814332,45.915540123348144,22.465277777777775,12.171180555555555,34.44722222222222,1.0666666666666667,549.2847222222222,7.501531259611384,75.13689889147997
COVID_1,vfds_day28,231,0,0,6.874458874458875,8.91343863460486,0,0,16,0,25,0.7695359355835116,-1.0925508697710407
Post-COVID_0,hosp_los_days,280,1,0.35714285714285715,16.849245818399044,23.076021668077782,10.338194444444444,2.7222222222222223,22.455555555555556,0.05416666666666667,169.14791666666667,3.4621297545324716,15.65966889432717
Post-COVID_0,vfds_day28,280,5,1.7857142857142856,7.734545454545454,10.210846855036753,0,0,18,0,27,0.7313547384054933,-1.244039500735716
Post-COVID_1,hosp_los_days,52,1,1.9230769230769231,18.904234749455338,22.19451249957186,12.143055555555556,5.324305555555556,18.62291666666667,0.9055555555555556,98.29305555555555,2.1463241382705323,4.674486256384619
Post-COVID_1,vfds_day28,52,1,1.9230769230769231,7.294117647058823,9.892005090267714,0,0,17.5,0,26,0.7392050200859288,-1.2805907201284603
Pre-COVID_0,hosp_los_days,228,0,0,15.584621710526315,19.044505978943047,9.800347222222221,3.317361111111111,19.17690972222222,0.3076388888888889,107.7375,2.4433536393516735,6.916958872779058
Pre-COVID_0,vfds_day28,228,0,0,7.364035087719298,10.227109411082509,0,0,18.25,0,27,0.8233924571827557,-1.1186975605964342
Pre-COVID_1,hosp_los_days,20,0,0,17.19,21.284691408828806,10.479513888888889,3.8796875,18.958333333333336,0.8979166666666667,83.56041666666667,2.25268810326901,5.041100393391883
Pre-COVID_1,vfds_day28,20,0,0,2.2,5.415377714386476,0,0,0,0,17,2.195939190271966,3.2955005946218296
