strata,variable,n,miss,p.miss,mean,sd,median,p25,p75,min,max,skew,kurt
Overall,tidal_volume,1164,0,0,404.29639175257734,88.26430226822806,400,350,450,150,989,1.2742995319965043,5.814038455474427
Overall,tv_pbw,1164,0,0,6.37890667767668,1.1733279750810592,6.065933624983339,5.911292615354836,6.8493150684931505,2.9315068493150687,15.688622754491025,2.2801497892692715,12.052528625306799
Overall,peak_inspiratory_pressure_obs,1164,0,0,31.335910652920962,8.0743353660447,31,26,36,8,80,0.4826365151099321,1.6359344517453727
Overall,plateau_pressure_obs,1164,0,0,25.147938144329895,5.694164777390774,25,21,29,9,55,0.46689795061782985,1.2058782390371747
Overall,peep_set,1164,0,0,10.764604810996564,3.663571421667951,10,8,12,0,30,0.40863717075458517,0.7284196605414571
Overall,static_dp,1164,0,0,14.646219931271478,5.052632131845458,14,11,17,5,45,1.0670349713711416,2.446268995583465
Overall,static_compliance,1164,0,0,31.13349548891221,13.87562919450604,28.571428571428573,22.22222222222222,37,5.172413793103448,158.2,2.0320561920764035,9.179873989322857
Overall,resp_rate_set,1164,0,0,24.6872852233677,6.4624167659507075,25,20,30,10,70,0.3512125576004828,1.266209055940122
Overall,resp_rate_obs,1164,0,0,27.030927835051546,14.722684067028066,26,22,30,10,393,18.707067220215325,429.18756245603356
Overall,rass,1164,16,1.3745704467353952,-3.1236933797909407,1.867548673298796,-4,-5,-2,-5,3,1.032269058558995,0.4163946947213151
COVID,tidal_volume,584,0,0,397.3321917808219,82.67284046316476,400,350,450,170,980,1.287841821692771,6.0036342527707705
COVID,tv_pbw,584,0,0,6.304163061101648,1.076072209263653,6.027397260273973,5.90863531056247,6.593406593406593,2.9315068493150687,14.327485380116958,2.1249609446283704,9.384795083135876
COVID,peak_inspiratory_pressure_obs,584,0,0,31.195205479452056,7.688371582502947,31,26,35,8,61,0.4354836272066806,1.1775271283775923
COVID,plateau_pressure_obs,584,0,0,25.130479452054793,5.465638407383273,25,22,29,9,55,0.49424655821131147,1.9543649438291615
COVID,peep_set,584,0,0,11.376712328767123,3.4954327680764745,12,10,14,5,22,0.17767505446495604,0.07541269438007425
COVID,static_dp,584,0,0,14.061986301369863,4.7101540064864755,13,11,17,5,45,1.2734554453587297,4.6613867755281575
COVID,static_compliance,584,0,0,31.62710254072718,14.026601232236539,28.61904761904762,23.021978021978022,37.5,7.333333333333333,158.2,2.483332203038508,13.744281769757283
COVID,resp_rate_set,584,0,0,24.96917808219178,6.116850332105977,25,20,30,10,70,0.6411019653334853,4.092890690866375
COVID,resp_rate_obs,584,0,0,27.565068493150687,19.732148385989042,26,22,30,10,393,15.451269746561609,263.8436403947799
COVID,rass,584,7,1.1986301369863013,-3.197573656845754,1.8378148837906965,-4,-5,-2,-5,3,1.2308544937486414,0.9661425338383965
Post-COVID,tidal_volume,332,0,0,409.83734939759034,81.14328859238773,400,360,450,150,700,0.04388277898491975,0.753562347897117
Post-COVID,tv_pbw,332,0,0,6.415355773761473,1.0889671774501763,6.223479490806223,5.9405940594059405,6.986096300549588,2.9315068493150687,14.615384615384615,1.509043719412188,11.00112150145789
Post-COVID,peak_inspiratory_pressure_obs,332,0,0,30.24397590361446,7.924728583190871,30,25,35,10,58,0.2671625501785948,0.24307027831305308
Post-COVID,plateau_pressure_obs,332,0,0,24.69277108433735,5.529012370792988,24,21,28,9,47,0.625253986812974,0.9625013253472839
Post-COVID,peep_set,332,0,0,10.096385542168674,3.447892505145875,10,8,12,5,24,0.4968245464606249,0.3887897790682904
Post-COVID,static_dp,332,0,0,14.626506024096386,4.936358341601707,14,11,17,5,35,0.9741627541752655,1.5993541253019035
Post-COVID,static_compliance,332,0,0,31.582603352662048,13.539724827243734,29.23076923076923,23.09065934065934,37.5,5.172413793103448,100,1.5185134510694598,4.24621528338859
Post-COVID,resp_rate_set,332,0,0,23.996987951807228,6.4355970452755615,24,20,30,10,48,0.16547152322016825,-0.39374760025833755
Post-COVID,resp_rate_obs,332,0,0,25.948795180722893,6.2857748377902185,26,20,30,10,48,0.20787951150428177,-0.4052296084129462
Post-COVID,rass,332,3,0.9036144578313252,-3.2279635258358663,1.7822830107401284,-4,-5,-2,-5,2,0.9912054038281608,0.3848683327460906
Pre-COVID,tidal_volume,248,0,0,413.2782258064516,107.18820336664407,400,340,450,180,989,1.8471119744175168,6.759444626961168
Pre-COVID,tv_pbw,248,0,0,6.506121081626952,1.4590122570303408,6.122407603123543,5.880331071097643,6.986027944111779,3.956043956043956,15.688622754491025,2.6337906411650787,11.874233746428326
Pre-COVID,peak_inspiratory_pressure_obs,248,0,0,33.12903225806452,8.855079506575935,33,28,38,10,80,0.6683023659619174,3.102956620743702
Pre-COVID,plateau_pressure_obs,248,0,0,25.798387096774192,6.362821973062382,26,21,30,9,46,0.21551867606323158,0.3725976642333459
Pre-COVID,peep_set,248,0,0,10.21774193548387,4.079295969802441,10,8,12,0,30,0.82833042655143585,2.3364436522226106
Pre-COVID,static_dp,248,0,0,16.048387096774192,5.692320046296454,15,12,19.25,5,35,0.7267035612706514,0.5859165210160296
Pre-COVID,static_compliance,248,0,0,29.36990545252153,13.875157404671064,26.282894736842103,20.535714285714285,36.09090909090909,7.714285714285714,98.25,1.6534295089713094,4.274260880142552
Pre-COVID,resp_rate_set,248,0,0,24.947580645161292,7.206137327005104,25,20,30,10,46,0.1124319397692795,-1.0486517331303227
Pre-COVID,resp_rate_obs,248,0,0,27.221774193548388,6.8087828548867195,27.5,22,32,10,45,-0.06245607833294987,-0.5657744470938886
Pre-COVID,rass,248,6,2.4193548387096775,-2.8057851239669422,2.0184541770473823,-3,-5,-1.25,-5,3,0.6599618887671121,-0.41728102937527267
