strata,variable,level,n,miss,p.miss,freq,percent,cum.percent
Overall,opiate_infusion,0,1164,0,0,407,34.9656357388316,34.965635738831615
Overall,opiate_infusion,1,1164,0,0,757,65.0343642611684,100
Overall,nmb_infusion,0,1164,0,0,951,81.701030927835,81.70103092783505
Overall,nmb_infusion,1,1164,0,0,213,18.2989690721649,100
Overall,ketamine_infusion,0,1164,0,0,1148,98.6254295532646,98.62542955326461
Overall,ketamine_infusion,1,1164,0,0,16,1.3745704467354,100
Overall,propofol_infusion,0,1164,0,0,664,57.0446735395189,57.0446735395189
Overall,propofol_infusion,1,1164,0,0,500,42.9553264604811,100
Overall,inh_pulm_vasodilator,0,1164,0,0,1067,91.6666666666667,91.66666666666666
Overall,inh_pulm_vasodilator,1,1164,0,0,97,8.33333333333333,100
Overall,benzo_infusion,0,1164,0,0,656,56.3573883161512,56.3573883161512
Overall,benzo_infusion,1,1164,0,0,508,43.6426116838488,100
Overall,dexmed_infusion,0,1164,0,0,1097,94.2439862542955,94.24398625429554
Overall,dexmed_infusion,1,1164,0,0,67,5.75601374570447,100
COVID,opiate_infusion,0,584,0,0,194,33.2191780821918,33.21917808219178
COVID,opiate_infusion,1,584,0,0,390,66.7808219178082,100
COVID,nmb_infusion,0,584,0,0,444,76.027397260274,76.02739726027397
COVID,nmb_infusion,1,584,0,0,140,23.972602739726,100
COVID,ketamine_infusion,0,584,0,0,571,97.7739726027397,97.77397260273972
COVID,ketamine_infusion,1,584,0,0,13,2.22602739726027,100
COVID,propofol_infusion,0,584,0,0,335,57.3630136986301,57.36301369863014
COVID,propofol_infusion,1,584,0,0,249,42.6369863013699,100
COVID,inh_pulm_vasodilator,0,584,0,0,551,94.3493150684932,94.34931506849315
COVID,inh_pulm_vasodilator,1,584,0,0,33,5.65068493150685,100
COVID,benzo_infusion,0,584,0,0,269,46.0616438356164,46.06164383561644
COVID,benzo_infusion,1,584,0,0,315,53.9383561643836,100
COVID,dexmed_infusion,0,584,0,0,561,96.0616438356164,96.06164383561644
COVID,dexmed_infusion,1,584,0,0,23,3.93835616438356,100
Post-COVID,opiate_infusion,0,332,0,0,118,35.5421686746988,35.54216867469879
Post-COVID,opiate_infusion,1,332,0,0,214,64.4578313253012,100
Post-COVID,nmb_infusion,0,332,0,0,292,87.9518072289157,87.95180722891565
Post-COVID,nmb_infusion,1,332,0,0,40,12.0481927710843,100
Post-COVID,ketamine_infusion,0,332,0,0,330,99.3975903614458,99.3975903614458
Post-COVID,ketamine_infusion,1,332,0,0,2,0.602409638554217,100
Post-COVID,propofol_infusion,0,332,0,0,161,48.4939759036145,48.493975903614455
Post-COVID,propofol_infusion,1,332,0,0,171,51.5060240963855,100
Post-COVID,inh_pulm_vasodilator,0,332,0,0,284,85.5421686746988,85.54216867469879
Post-COVID,inh_pulm_vasodilator,1,332,0,0,48,14.4578313253012,100
Post-COVID,benzo_infusion,0,332,0,0,223,67.1686746987952,67.16867469879519
Post-COVID,benzo_infusion,1,332,0,0,109,32.8313253012048,100
Post-COVID,dexmed_infusion,0,332,0,0,312,93.9759036144578,93.97590361445783
Post-COVID,dexmed_infusion,1,332,0,0,20,6.02409638554217,100
Pre-COVID,opiate_infusion,0,248,0,0,95,38.3064516129032,38.306451612903224
Pre-COVID,opiate_infusion,1,248,0,0,153,61.6935483870968,100
Pre-COVID,nmb_infusion,0,248,0,0,215,86.6935483870968,86.69354838709677
Pre-COVID,nmb_infusion,1,248,0,0,33,13.3064516129032,100
Pre-COVID,ketamine_infusion,0,248,0,0,247,99.5967741935484,99.59677419354838
Pre-COVID,ketamine_infusion,1,248,0,0,1,0.403225806451613,100
Pre-COVID,propofol_infusion,0,248,0,0,168,67.741935483871,67.74193548387096
Pre-COVID,propofol_infusion,1,248,0,0,80,32.258064516129,100
Pre-COVID,inh_pulm_vasodilator,0,248,0,0,232,93.5483870967742,93.54838709677419
Pre-COVID,inh_pulm_vasodilator,1,248,0,0,16,6.45161290322581,100
Pre-COVID,benzo_infusion,0,248,0,0,164,66.1290322580645,66.12903225806451
Pre-COVID,benzo_infusion,1,248,0,0,84,33.8709677419355,100
Pre-COVID,dexmed_infusion,0,248,0,0,224,90.3225806451613,90.32258064516128
Pre-COVID,dexmed_infusion,1,248,0,0,24,9.67741935483871,100
