strata,variable,level,n,miss,p.miss,freq,percent,cum.percent
0,opiate_infusion,0,861,0,0,352,40.8826945412311,40.88269454123113
0,opiate_infusion,1,861,0,0,509,59.1173054587689,100
0,nmb_infusion,0,861,0,0,755,87.6887340301975,87.68873403019745
0,nmb_infusion,1,861,0,0,106,12.3112659698026,100
0,ketamine_infusion,0,861,0,0,849,98.6062717770035,98.60627177700349
0,ketamine_infusion,1,861,0,0,12,1.39372822299652,100
0,propofol_infusion,0,861,0,0,502,58.3042973286876,58.30429732868757
0,propofol_infusion,1,861,0,0,359,41.6957026713124,100
0,inh_pulm_vasodilator,0,861,0,0,789,91.6376306620209,91.63763066202091
0,inh_pulm_vasodilator,1,861,0,0,72,8.36236933797909,100
0,benzo_infusion,0,861,0,0,553,64.2276422764228,64.22764227642277
0,benzo_infusion,1,861,0,0,308,35.7723577235772,100
0,dexmed_infusion,0,861,0,0,800,92.9152148664344,92.91521486643438
0,dexmed_infusion,1,861,0,0,61,7.08478513356562,100
1,opiate_infusion,0,303,0,0,55,18.1518151815182,18.151815181518153
1,opiate_infusion,1,303,0,0,248,81.8481848184819,100
1,nmb_infusion,0,303,0,0,196,64.6864686468647,64.68646864686468
1,nmb_infusion,1,303,0,0,107,35.3135313531353,100
1,ketamine_infusion,0,303,0,0,299,98.6798679867987,98.67986798679867
1,ketamine_infusion,1,303,0,0,4,1.32013201320132,100
1,propofol_infusion,0,303,0,0,162,53.4653465346535,53.46534653465347
1,propofol_infusion,1,303,0,0,141,46.5346534653465,100
1,inh_pulm_vasodilator,0,303,0,0,278,91.7491749174917,91.74917491749174
1,inh_pulm_vasodilator,1,303,0,0,25,8.25082508250825,100
1,benzo_infusion,0,303,0,0,103,33.993399339934,33.993399339933994
1,benzo_infusion,1,303,0,0,200,66.006600660066,100
1,dexmed_infusion,0,303,0,0,297,98.019801980198,98.01980198019803
1,dexmed_infusion,1,303,0,0,6,1.98019801980198,100
