strata,variable,n,miss,p.miss,mean,sd,median,p25,p75,min,max,skew,kurt
COVID_0,tidal_volume,353,0,0,407.36827195467424,82.14967155093093,400,350,450,170,791,0.8425264901968144,3.093976977095646
COVID_0,tv_pbw,353,0,0,6.438332971320202,1.1565453882056087,6.070826306913997,5.934065934065934,6.959152798789713,2.9315068493150687,12.874251497005993,1.4743716842578016,4.27352606424389
COVID_0,peak_inspiratory_pressure_obs,353,0,0,30.58073654390935,8.022686052776615,30,26,35,8,61,0.5050161211700693,1.4437987199348217
COVID_0,plateau_pressure_obs,353,0,0,24.5643059490085,5.353686669163953,24,21,28,11,46,0.3147273360893301,0.5568236067033623
COVID_0,peep_set,353,0,0,10.6657223796034,3.5405745716914305,10,8,12,5,20,0.22905460881795373,-0.1756372622427561
COVID_0,static_dp,353,0,0,14.014730878186969,4.541895691851932,13,11,17,5,40,0.7940979951511782,2.4365448503233695
COVID_0,static_compliance,353,0,0,32.71126354845146,15.254156560916243,29.23076923076923,23.333333333333332,38.333333333333336,8.75,158.2,2.7064437981895035,14.900887141182963
COVID_0,resp_rate_set,353,0,0,24.705382436260624,6.477092451779208,25,20,30,10,70,0.9374978345201024,5.674906108662894
COVID_0,resp_rate_obs,353,0,0,27.28328611898017,15.656257043919844,26,22,30,10,300,15.08193254413449,263.0733610013146
COVID_0,rass,353,3,0.84985835694051,-3.06,1.9134121698696174,-4,-5,-2,-5,3,1.0486228939159712,0.4638777573190587
COVID_1,tidal_volume,231,0,0,381.995670995671,81.27524345438496,370,330,420,220,980,2.108994470145118,12.541748617962034
COVID_1,tv_pbw,231,0,0,6.099132851979789,0.9045166629814889,5.994152046783626,5.855699561179712,6.153846153846154,3.794266441821248,14.327485380116958,3.955385716771392,30.927400337661975
COVID_1,peak_inspiratory_pressure_obs,231,0,0,32.134199134199136,7.061481500808461,32,28,36,16,56,0.4118176659758071,0.6121202757090387
COVID_1,plateau_pressure_obs,231,0,0,25.995670995670995,5.5329038177527465,26,23,29,9,55,0.7446542056398853,3.762099868110997
COVID_1,peep_set,231,0,0,12.463203463203463,3.134268675143845,12,10,14,5,22,0.38862693597868747,0.6473609608061545
COVID_1,static_dp,231,0,0,14.134199134199134,4.965463254731245,13,11,16,6,45,1.8297043457512496,6.987369067732478
