strata,variable,level,n,miss,p.miss,freq,percent,cum.percent
COVID_0,opiate_infusion,0,353,0,0,151,42.7762039660057,42.77620396600567
COVID_0,opiate_infusion,1,353,0,0,202,57.2237960339943,100
COVID_0,nmb_infusion,0,353,0,0,289,81.8696883852691,81.86968838526913
COVID_0,nmb_infusion,1,353,0,0,64,18.1303116147309,100
COVID_0,ketamine_infusion,0,353,0,0,343,97.1671388101983,97.16713881019831
COVID_0,ketamine_infusion,1,353,0,0,10,2.8328611898017,100
COVID_0,propofol_infusion,0,353,0,0,200,56.657223796034,56.657223796033996
COVID_0,propofol_infusion,1,353,0,0,153,43.342776203966,100
COVID_0,inh_pulm_vasodilator,0,353,0,0,331,93.7677053824363,93.76770538243626
COVID_0,inh_pulm_vasodilator,1,353,0,0,22,6.23229461756374,100
COVID_0,benzo_infusion,0,353,0,0,200,56.657223796034,56.657223796033996
COVID_0,benzo_infusion,1,353,0,0,153,43.342776203966,100
COVID_0,dexmed_infusion,0,353,0,0,335,94.9008498583569,94.90084985835693
COVID_0,dexmed_infusion,1,353,0,0,18,5.09915014164306,100
COVID_1,opiate_infusion,0,231,0,0,43,18.6147186147186,18.614718614718615
COVID_1,opiate_infusion,1,231,0,0,188,81.3852813852814,100
COVID_1,nmb_infusion,0,231,0,0,155,67.0995670995671,67.09956709956711
COVID_1,nmb_infusion,1,231,0,0,76,32.9004329004329,100
COVID_1,ketamine_infusion,0,231,0,0,228,98.7012987012987,98.7012987012987
COVID_1,ketamine_infusion,1,231,0,0,3,1.2987012987013,100
COVID_1,propofol_infusion,0,231,0,0,135,58.4415584415584,58.44155844155844
COVID_1,propofol_infusion,1,231,0,0,96,41.5584415584416,100
COVID_1,inh_pulm_vasodilator,0,231,0,0,220,95.2380952380952,95.23809523809523
COVID_1,inh_pulm_vasodilator,1,231,0,0,11,4.76190476190476,100
COVID_1,benzo_infusion,0,231,0,0,69,29.8701298701299,29.87012987012987
COVID_1,benzo_infusion,1,231,0,0,162,70.1298701298701,100
COVID_1,dexmed_infusion,0,231,0,0,226,97.8354978354978,97.83549783549783
COVID_1,dexmed_infusion,1,231,0,0,5,2.16450216450216,100
Post-COVID_0,opiate_infusion,0,280,0,0,111,39.6428571428571,39.64285714285714
Post-COVID_0,opiate_infusion,1,280,0,0,169,60.3571428571429,100
Post-COVID_0,nmb_infusion,0,280,0,0,258,92.1428571428571,92.14285714285714
Post-COVID_0,nmb_infusion,1,280,0,0,22,7.85714285714286,100
Post-COVID_0,ketamine_infusion,0,280,0,0,278,99.2857142857143,99.28571428571429
Post-COVID_0,ketamine_infusion,1,280,0,0,2,0.714285714285714,100
Post-COVID_0,propofol_infusion,0,280,0,0,146,52.1428571428571,52.142857142857146
Post-COVID_0,propofol_infusion,1,280,0,0,134,47.8571428571429,100
Post-COVID_0,inh_pulm_vasodilator,0,280,0,0,245,87.5,87.5
Post-COVID_0,inh_pulm_vasodilator,1,280,0,0,35,12.5,100
Post-COVID_0,benzo_infusion,0,280,0,0,196,70,70
Post-COVID_0,benzo_infusion,1,280,0,0,84,30,100
Post-COVID_0,dexmed_infusion,0,280,0,0,260,92.8571428571429,92.85714285714286
Post-COVID_0,dexmed_infusion,1,280,0,0,20,7.14285714285714,100
Post-COVID_1,opiate_infusion,0,52,0,0,7,13.4615384615385,13.461538461538462
Post-COVID_1,opiate_infusion,1,52,0,0,45,86.5384615384615,100
Post-COVID_1,nmb_infusion,0,52,0,0,34,65.3846153846154,65.38461538461539
Post-COVID_1,nmb_infusion,1,52,0,0,18,34.6153846153846,100
Post-COVID_1,ketamine_infusion,0,52,0,0,52,100,100
Post-COVID_1,ketamine_infusion,1,52,0,0,0,0,100
Post-COVID_1,propofol_infusion,0,52,0,0,15,28.8461538461538,28.846153846153843
Post-COVID_1,propofol_infusion,1,52,0,0,37,71.1538461538462,100
Post-COVID_1,inh_pulm_vasodilator,0,52,0,0,39,75,75
Post-COVID_1,inh_pulm_vasodilator,1,52,0,0,13,25,100
Post-COVID_1,benzo_infusion,0,52,0,0,27,51.9230769230769,51.92307692307693
Post-COVID_1,benzo_infusion,1,52,0,0,25,48.0769230769231,100
Post-COVID_1,dexmed_infusion,0,52,0,0,52,100,100
Post-COVID_1,dexmed_infusion,1,52,0,0,0,0,100
Pre-COVID_0,opiate_infusion,0,228,0,0,90,39.4736842105263,39.473684210526315
Pre-COVID_0,opiate_infusion,1,228,0,0,138,60.5263157894737,100
Pre-COVID_0,nmb_infusion,0,228,0,0,208,91.2280701754386,91.22807017543859
Pre-COVID_0,nmb_infusion,1,228,0,0,20,8.7719298245614,100
Pre-COVID_0,ketamine_infusion,0,228,0,0,228,100,100
Pre-COVID_0,ketamine_infusion,1,228,0,0,0,0,100
Pre-COVID_0,propofol_infusion,0,228,0,0,156,68.4210526315789,68.42105263157895
Pre-COVID_0,propofol_infusion,1,228,0,0,72,31.5789473684211,100
Pre-COVID_0,inh_pulm_vasodilator,0,228,0,0,213,93.4210526315789,93.42105263157895
Pre-COVID_0,inh_pulm_vasodilator,1,228,0,0,15,6.57894736842105,100
Pre-COVID_0,benzo_infusion,0,228,0,0,157,68.859649122807,68.85964912280701
Pre-COVID_0,benzo_infusion,1,228,0,0,71,31.140350877193,100
Pre-COVID_0,dexmed_infusion,0,228,0,0,205,89.9122807017544,89.91228070175438
Pre-COVID_0,dexmed_infusion,1,228,0,0,23,10.0877192982456,100
Pre-COVID_1,opiate_infusion,0,20,0,0,5,25,25
Pre-COVID_1,opiate_infusion,1,20,0,0,15,75,100
Pre-COVID_1,nmb_infusion,0,20,0,0,7,35,35
Pre-COVID_1,nmb_infusion,1,20,0,0,13,65,100
Pre-COVID_1,ketamine_infusion,0,20,0,0,19,95,95
Pre-COVID_1,ketamine_infusion,1,20,0,0,1,5,100
Pre-COVID_1,propofol_infusion,0,20,0,0,12,60,60
Pre-COVID_1,propofol_infusion,1,20,0,0,8,40,100
Pre-COVID_1,inh_pulm_vasodilator,0,20,0,0,19,95,95
Pre-COVID_1,inh_pulm_vasodilator,1,20,0,0,1,5,100
Pre-COVID_1,benzo_infusion,0,20,0,0,7,35,35
Pre-COVID_1,benzo_infusion,1,20,0,0,13,65,100
Pre-COVID_1,dexmed_infusion,0,20,0,0,19,95,95
Pre-COVID_1,dexmed_infusion,1,20,0,0,1,5,100
