"","site","n_observations","n_hospitals","term","estimate","std_error","p_value","odds_ratio","confidence_interval","lower_bound","upper_bound"
"1","Hopkins",253,5,"(Intercept)",-3.21247323133153,0.918524621326998,0.000469768453806837,0.04,"0.007 - 0.244",0.0066525941140269,0.243607232233039
"2","Hopkins",253,5,"study_periodPost-COVID",-1.17131896779951,0.403113247591003,0.00366453489816435,0.31,"0.141 - 0.683",0.140660454801412,0.683019738016142
"3","Hopkins",253,5,"study_periodPre-COVID",-1.70240306493571,0.566095122771181,0.00263602169900606,0.182,"0.06 - 0.553",0.0600889618487777,0.552734770158708
"4","Hopkins",253,5,"age_scale",-0.172190776134306,0.124204974163317,0.165641996879988,0.842,"0.66 - 1.074",0.659925682750355,1.07384589618092
"5","Hopkins",253,5,"female",0.23776363670696,0.335239135886508,0.478178086874548,1.268,"0.658 - 2.447",0.657511518903425,2.44689596749828
"6","Hopkins",253,5,"bmi_scale",0.0891426212139086,0.0899395361935083,0.321617498618089,1.093,"0.917 - 1.304",0.916552774680744,1.30397967006167
"7","Hopkins",253,5,"factor(nee_pressor_dose)1",0.887696574907331,0.599776332679074,0.138860965327805,2.43,"0.75 - 7.871",0.749878987160248,7.8714051038562
"8","Hopkins",253,5,"factor(nee_pressor_dose)2",1.24676168774585,0.757307387878288,0.0997002337477802,3.479,"0.789 - 15.349",0.788570459452919,15.3491008107539
"9","Hopkins",253,5,"sofa_score_scale",-0.294148770957972,0.104114351573591,0.00472441650549083,0.745,"0.608 - 0.914",0.607617838148964,0.913850405001681
"10","Hopkins",253,5,"min_pf_ratio_scale",0.409237391042153,0.144788561112621,0.00470673324525328,1.506,"1.134 - 2",1.13366644960477,1.99974116802259
"11","Hopkins",253,5,"factor(hospital_id)HCG",0.665312053717088,0.743695450512952,0.370999439184652,1.945,"0.453 - 8.356",0.452800229722965,8.35556974805684
"12","Hopkins",253,5,"factor(hospital_id)JHH",0.209326878000445,0.366509198595039,0.56790693874649,1.233,"0.601 - 2.529",0.601085584405448,2.52861496266483
"13","Hopkins",253,5,"factor(hospital_id)SMH",-0.165374400607085,0.848850799847892,0.845532676842301,0.848,"0.161 - 4.474",0.160559386330751,4.47426725017939
"14","Hopkins",253,5,"factor(hospital_id)SUB",-16.322078928947,0.525097801140391,3.97735398126238e-212,0,"0 - 0",2.91371539954413e-08,2.28231322409518e-07
